 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)유비온,"서울특별시 구로구 디지털로34길 27, 601호(구로동,대륭포스트타워3차)",정보통신업,중소기업 152,0,1,0,1
(주)클루닉스,"서울특별시 영등포구 경인로 775, 1동 1206호(문래동3가,에이스하이테크시티)",정보통신업,중소기업 49,1,1,0,2
(주)파이오링크,"서울특별시 금천구 가산디지털2로 98, 1동 401호(가산동, IT캐슬)",제조업,중소기업 355,1,1,0,2
유비벨록스(주),"서울특별시 구로구 디지털로31길 12, 13,14층(구로동,태평양물산)",정보통신업,중견기업 288,1,1,0,2
(주)다임즈,"서울특별시 구로구 디지털로 273, 1105호(구로동,에이스트윈타워2차) ",정보통신업,중소기업 53,0,1,0,1
가람환경기술(주),"서울특별시 금천구 가산디지털2로 108, 1108호(가산동,뉴티캐슬)",제조업,중소기업 36,0,1,0,1
주식회사 유호스트,"서울특별시 서초구 남부순환로 2495, 5층(서초동,원림빌딩) ",정보통신업,중소기업 145,0,1,0,1
주식회사 포인트모바일,"서울특별시 금천구 디지털로9길 32, B동 9층(가산동,갑을그레이트벨리)",제조업,중소기업 151,1,1,1,3
(주)신아티앤씨,"서울특별시 금천구 가산디지털2로 184, 508호(가산동,벽산경인디지털밸리2차)",제조업,중소기업 74,1,1,1,3
온라인바다(주),"서울특별시 금천구 서부샛길 606, B동 2703호(가산동,대성디폴리스지식산업센터)",정보통신업,중소기업 12,0,1,0,1
주식회사우리강산시스템,"서울특별시 금천구 가산디지털1로 168, B동 1403~1404호(가산동,우림라이온스밸리)",정보통신업,중소기업 46,0,1,0,1
아이리노테크 주식회사,"서울특별시 구로구 디지털로 271, 408호",도매 및 소매업,중소기업 15,0,0,1,1
(주)이즈파크,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동,에이스하이엔드타워3차)",정보통신업,중소기업 145,1,1,1,3
유비씨엔(주),"서울특별시 금천구 가산디지털1로 212, 910호(가산동,코오롱애스턴)",정보통신업,중소기업 30,1,1,1,3
(주)엠토스솔루션스,"서울특별시 금천구 가산디지털1로 219, 811호,1112호(가산동,벽산디지털밸리6차)",도매 및 소매업,중소기업 59,0,1,1,2
